Class,Count,Base Precision,Base Recall,Base F1,Tuned Precision,Tuned Recall,Tuned F1
Pizza,176,94.47852760736197,87.5,90.85545722713864,95.15151515151516,89.20454545454545,92.08211143695014
Shawarma,156,80.11049723756905,92.94871794871796,86.05341246290801,84.48275862068965,94.23076923076923,89.0909090909091
Sushi,162,91.33333333333333,84.5679012345679,87.82051282051282,92.90322580645162,88.88888888888889,90.85173501577287
